Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SqFt,$/SF
2021-07-15,Gresham,97080,1981,3,2.0,430000,1279,7840,336.20015637216574,336.2
2021-07-15,Gresham,97080,2004,3,3.0,485000,1502,5227,322.90279627163784,322.9
2021-07-15,Portland,97236,1959,5,2.0,480000,2179,6969,220.2845341899954,220.28
2021-06-25,Fairview,97024,1990,3,3.0,450000,1804,7840,249.44567627494456,249.45
2021-07-15,Gresham,97080,1974,3,3.0,500000,2628,15681,190.2587519025875,190.26
2021-07-15,Portland,97233,2000,3,2.0,380000,966,4791,393.37474120082817,393.37
2021-06-25,Fairview,97024,2004,2,3.0,150000,1420,1704,105.63380281690141,105.63
2021-07-15,Portland,97236,1963,4,2.0,599900,1920,192535,312.4479166666667,312.45
2021-06-23,Fairview,97024,2001,3,2.0,390000,1236,3049,315.5339805825243,315.53
2021-06-22,Fairview,97024,2000,3,2.0,613000,2082,9583,294.42843419788665,294.43
2021-07-15,Gresham,97080,2004,3,2.0,500000,1496,14810,334.2245989304813,334.22
2021-06-22,Fairview,97024,1963,5,3.0,775000,3238,13068,239.34527486102533,239.35
2021-07-15,Gresham,97080,2011,3,3.0,440000,1488,5227,295.6989247311828,295.7
2021-06-17,Fairview,97024,1985,4,2.0,430000,1960,6969,219.3877551020408,219.39
2021-06-09,Fairview,97024,1959,3,1.5,310000,2426,23522,127.78235779060181,127.78
2021-07-13,Gresham,97080,1996,3,3.0,596000,2350,7405,253.61702127659575,253.62
2021-07-13,Gresham,97080,1995,3,2.0,423000,1391,5227,304.09777138749104,304.1
2021-06-07,Fairview,97024,2001,3,2.0,410000,1374,4791,298.39883551673944,298.4
2021-07-12,Gresham,97030,1986,3,3.0,421800,1664,8046,253.48557692307693,253.49
2021-06-03,Fairview,97024,2001,3,3.0,448800,1577,3484,284.59099556119213,284.59
2021-07-12,Gresham,97080,1979,4,3.0,499900,2963,16988,168.7141410732366,168.71
2021-06-29,Wood Village,97060,1974,5,3.0,650000,2922,10018,222.45037645448323,222.45
2021-05-28,Fairview,97024,2000,3,2.0,451000,1456,9147,309.75274725274727,309.75
2021-07-12,Gresham,97080,1997,4,3.0,580000,2093,9147,277.1141901576684,277.11
2021-05-26,Fairview,97024,1975,3,2.0,410000,1665,10890,246.24624624624624,246.25
2021-07-12,Portland,97230,1962,4,2.0,425000,1500,6969,283.3333333333333,283.33
2021-05-26,Fairview,97024,2000,3,2.0,495000,1739,7840,284.6463484761357,284.65
2021-05-26,Fairview,97024,1961,3,1.0,357000,884,7405,403.84615384615387,403.85
2021-05-21,Fairview,97024,1986,3,2.0,374000,1040,6969,359.61538461538464,359.62
2021-05-21,Fairview,97024,1999,4,3.0,701000,2038,9147,343.96467124631994,343.96
2021-06-11,Wood Village,97060,2007,3,3.0,421000,1927,3920,218.4743124026985,218.47
2021-06-03,Wood Village,97060,1965,3,2.0,595000,3050,16552,195.08196721311475,195.08
2021-07-12,Gresham,97080,1985,3,2.0,405000,1104,10018,366.8478260869565,366.85
2021-05-20,Fairview,97024,1999,3,3.0,500000,1848,8276,270.56277056277054,270.56
2021-05-28,Wood Village,97060,1955,4,3.0,570000,3052,55756,186.76277850589778,186.76
2021-05-17,Fairview,97024,1961,3,2.0,395000,1300,7405,303.84615384615387,303.85
