ZIP_CODE,PO_NAME,STATE,zipCodePop,areaSqMile,PopDensity,MeaHHI
97520,Ashland,OR,17337,609.851,28.42825543,91888
97760,Terrebonne,OR,2302,83.051,27.71790827,91083
97489,Walterville,OR,741,28.066,26.40205231,102228
97457,Myrtle Creek,OR,5005,191.681,26.11109082,57244
97370,Philomath,OR,4597,181.257,25.36177913,100171
97913,Nyssa,OR,3195,126.326,25.29170559,54046
97601,Klamath Falls,OR,10617,425.17,24.971188,63135
97462,Oakland,OR,6566,270.9,24.2377261,68055
97117,Gales Creek,OR,718,29.702,24.17345633,115561
97386,Sweet Home,OR,5309,228.392,23.24512242,63773
97347,Grand Ronde,OR,2800,124.24,22.53702511,54584
97527,Grants Pass,OR,4440,200.504,22.14419662,67270
97530,Jacksonville,OR,7163,336.188,21.30653087,101995
97138,Seaside,OR,9045,425.373,21.26369093,68568
97431,Dexter,OR,1467,71.037,20.65120993,80375
97465,Port Orford,OR,1682,81.594,20.61426085,50301
97144,Timber,OR,863,42.414,20.34705522,74949
97850,La Grande,OR,16517,868.219,19.02400201,68319
97019,Corbett,OR,3054,162.101,18.84010586,99528
97304,Salem,OR,1211,67.128,18.04016208,100927
97456,Monroe,OR,1622,90.945,17.83495519,88520
97461,Noti,OR,978,54.967,17.79249368,98491
97390,Tidewater,OR,1752,98.743,17.74302989,55150
97438,Fall Creek,OR,2182,125.22,17.42533142,95890
97741,Madras,OR,6156,357.758,17.20716238,69474
97416,Camas Valley,OR,1917,112.989,16.96625335,67113
97067,Welches,OR,837,49.615,16.86989822,69984
97412,Blachly,OR,1095,68.103,16.07858685,90513
97862,Milton Freewater,OR,4514,292.422,15.43659506,63133
97532,Merlin,OR,1153,76.182,15.13480875,64840
97108,Beaver,OR,1097,77.244,14.2017503,51712
97486,Umpqua,OR,2204,155.613,14.16334111,149170
97348,Halsey,OR,785,58.115,13.50770025,93987
97544,Williams,OR,1712,129.182,13.25262033,63837
97801,Pendleton,OR,13521,1040.1,12.99971157,71122
97756,Redmond,OR,1417,109.224,12.97333919,74345
97049,Rhododendron,OR,1535,120.241,12.76602823,86232
97810,Adams,OR,2420,197.184,12.27280104,76868
97014,Cascade Locks,OR,1543,126.039,12.24224248,67394
97499,Yoncalla,OR,1227,102.57,11.96256215,53310
97443,Glide,OR,3864,324.294,11.91511406,63565
97041,Mount Hood Parkdale,OR,2402,206.652,11.62340553,78418
97841,Imbler,OR,676,59.604,11.3415207,102122
97459,North Bend,OR,3162,280.398,11.27682794,83980
97358,Lyons,OR,913,81.757,11.1672395,77963
97326,Blodgett,OR,1095,106.024,10.3278503,76167
97625,Dairy,OR,1459,141.829,10.2870358,95780
97434,Dorena,OR,1819,181.796,10.0057207,51138
97833,Haines,OR,1726,182.604,9.452147817,64082
97415,Brookings,OR,6923,744.837,9.294651044,71205
97470,Roseburg,OR,1670,184.391,9.056841169,57667
97814,Baker City,OR,7828,910.377,8.59863551,68667
97141,Tillamook,OR,3210,376.37,8.5288413,69685
97903,Brogan,OR,3643,431.048,8.451494961,
97380,Siletz,OR,942,112.657,8.361664166,77853
97813,Athena,OR,877,105.178,8.338245641,86999
97410,Azalea,OR,1353,162.451,8.328665259,65115
97497,Wolf Creek,OR,1075,130.732,8.222929352,57388
97479,Sutherlin,OR,1235,161.821,7.631889557,59857
97496,Winston,OR,917,125.987,7.278528737,66056
97016,Clatskanie,OR,2361,326.92,7.221950324,72720
97467,Reedsport,OR,4019,565.206,7.110681769,56990
97826,Echo,OR,1142,161.858,7.055567226,60802
97324,Alsea,OR,1444,209.881,6.880089193,77640
97886,Weston,OR,860,125.429,6.8564686,66100
97064,Vernonia,OR,1089,164.639,6.614471662,69819
97063,Tygh Valley,OR,1021,160.43,6.364146357,106048
97883,Union,OR,3211,515.627,6.227369785,61353
97453,Mapleton,OR,699,114.562,6.101499625,49671
97827,Elgin,OR,2176,369.171,5.894287471,56654
97343,Eddyville,OR,1036,178.182,5.814279781,106382
97342,Detroit,OR,1515,260.781,5.809472316,80567
97641,Christmas Valley,OR,964,166.943,5.774426002,44219
97918,Vale,OR,2310,407.879,5.663444306,61265
97839,Lexington,OR,799,148.621,5.376090862,57764
97112,Cloverdale,OR,1055,205.509,5.133595122,52479
97523,Cave Junction,OR,1899,385.554,4.925380102,50502
97021,Dufur,OR,1865,394.744,4.724580994,76100
97522,Butte Falls,OR,1309,282.108,4.640066925,53796
97344,Falls City,OR,923,216.625,4.260819388,62357
97065,Wasco,OR,852,200.58,4.247681723,85371
97454,Marcola,OR,516,124.293,4.151480775,89355
97761,Warm Springs,OR,1659,408.972,4.056512426,51127
97463,Oakridge,OR,1347,338.566,3.978544804,41574
97536,Prospect,OR,1318,342.735,3.845536639,48262
97736,Frenchglen,OR,803,213.653,3.758430726,83211
97435,Drain,OR,792,222.568,3.558463032,72094
97846,Joseph,OR,1312,389.426,3.369061131,80448
97406,Agness,OR,1289,396.235,3.253119992,18981
97029,Grass Valley,OR,834,259.941,3.208420372,56527
97413,Blue River,OR,2992,932.945,3.207048647,66092
97835,Helix,OR,595,197.935,3.006037335,97425
97885,Wallowa,OR,1944,668.252,2.909082203,64550
97057,Shaniko,OR,917,315.968,2.902192627,
97442,Glendale,OR,823,295.022,2.789622469,51909
97837,Hereford,OR,804,344.05,2.336869641,24635
97870,Richland,OR,841,364.148,2.309500533,55255
97131,Nehalem,OR,738,327.299,2.254818988,82605
