Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
NE MULTNOMAH ST / NE 99TH AVE,22-905519,Property,Hazelwood,2/23/2022,0718,Larceny Offenses,Theft From Motor Vehicle,45.531272023,-122.562349548,2/24/2022,1
NE MULTNOMAH ST / NE 99TH AVE,22-908334,Property,Hazelwood,3/24/2022,1930,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.531272023,-122.562349548,3/24/2022,1
NE OREGON ST / NE 29TH AVE,22-31217,Property,Kerns,1/4/2022,1200,Motor Vehicle Theft,Motor Vehicle Theft,45.528609358,-122.635875192,2/2/2022,1
NE OREGON ST / NE 61ST AVE,22-54277,Property,North Tabor,2/23/2022,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.528312432,-122.601232860,2/27/2022,1
NE OREGON ST / NE 81ST AVE,22-7077,Property,Montavilla,1/7/2022,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.528386398,-122.580126053,1/8/2022,1
NE OREGON ST / NE 81ST AVE,22-16010,Society,Montavilla,1/18/2022,0923,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.528386398,-122.580126053,1/18/2022,1
NE PACIFIC ST / NE 99TH AVE,22-902697,Property,Hazelwood,1/26/2022,0730,Larceny Offenses,Theft From Motor Vehicle,45.529477257,-122.561917428,1/28/2022,1
NE PACIFIC ST / NE 99TH AVE,22-905468,Property,Hazelwood,2/20/2022,1518,Fraud Offenses,Credit Card/ATM Fraud,45.529477257,-122.561917428,2/26/2022,1
NE PACIFIC ST / NE 99TH AVE,22-905468,Property,Hazelwood,2/20/2022,1518,Larceny Offenses,All Other Larceny,45.529477257,-122.561917428,2/26/2022,1
NE PACIFIC ST / NE 99TH AVE,22-908284,Property,Hazelwood,3/24/2022,1630,Larceny Offenses,All Other Larceny,45.529477257,-122.561917428,3/24/2022,1
NE PACIFIC ST / NE GRAND AVE,22-2753,Property,Lloyd,1/2/2022,1100,Larceny Offenses,Theft From Motor Vehicle,45.529325683,-122.660666134,1/4/2022,1
NE PACIFIC ST / NE GRAND AVE,22-900014,Property,Lloyd,1/2/2022,1100,Larceny Offenses,Theft From Motor Vehicle,45.529325683,-122.660666134,1/2/2022,1
NE PACIFIC ST / NE MARTIN LUTHER KING JR BLVD,22-53410,Property,Lloyd,2/26/2022,0853,Larceny Offenses,Theft From Motor Vehicle,45.529328543,-122.661681165,2/26/2022,1
NE PACIFIC ST / NE MARTIN LUTHER KING JR BLVD,22-905239,Property,Lloyd,2/22/2022,0800,Larceny Offenses,Theft From Motor Vehicle,45.529328543,-122.661681165,2/22/2022,1
NE PORTLAND HWY / NE 47TH PL,22-5470,Property,Cully,1/7/2022,0449,Vandalism,Vandalism,45.569227181,-122.613525533,1/7/2022,1
NE PRESCOTT DR / NE 130TH PL,22-901833,Property,Argay,1/17/2022,0357,Larceny Offenses,All Other Larceny,45.554743452,-122.529801822,1/17/2022,1
NE PRESCOTT ST / NE 80TH AVE,22-901170,Property,Cully,1/10/2022,2300,Larceny Offenses,Theft From Motor Vehicle,45.555428812,-122.580633093,1/11/2022,1
NE RANDALL AVE / NE HOYT ST,22-49784,Property,Kerns,2/22/2022,1330,Motor Vehicle Theft,Motor Vehicle Theft,45.527172067,-122.637183395,2/22/2022,1
NE RODNEY AVE / NE KNOTT ST,22-73167,Society,Eliot,3/18/2022,1818,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.541886680,-122.664135082,3/18/2022,1
NE RODNEY AVE / NE KNOTT ST,22-73167,Society,Eliot,3/18/2022,1818,Weapon Law Violations,Weapons Law Violations,45.541886680,-122.664135082,3/18/2022,1
NE RODNEY AVE / NE KNOTT ST,22-906691,Property,Eliot,3/5/2022,2105,Larceny Offenses,Theft From Motor Vehicle,45.541886680,-122.664135082,3/7/2022,1
NE RODNEY AVE / NE THOMPSON ST,22-903451,Property,Eliot,2/6/2022,2035,Larceny Offenses,Theft From Motor Vehicle,45.538999938,-122.664157762,2/7/2022,1
NE RODNEY AVE / NE TILLAMOOK ST,22-905055,Property,Eliot,2/20/2022,0200,Larceny Offenses,Theft From Motor Vehicle,45.538036801,-122.664163987,2/20/2022,1
NE ROSA PARKS WAY / NE 18TH AVE,22-56913,Person,Woodlawn,3/2/2022,0025,Assault Offenses,Aggravated Assault,45.569807487,-122.646629533,3/2/2022,1
NE ROSA PARKS WAY / NE MARTIN LUTHER KING JR BLVD,22-44558,Property,Woodlawn,2/16/2022,1946,Larceny Offenses,All Other Larceny,45.569978446,-122.661378505,2/16/2022,1
NE ROSA PARKS WAY / NE MARTIN LUTHER KING JR BLVD,22-61171,Property,Woodlawn,3/4/2022,1200,Larceny Offenses,Theft From Motor Vehicle,45.569978446,-122.661378505,3/6/2022,1
NE ROYAL CT / NE 47TH AVE,22-26596,Property,North Tabor,1/28/2022,1813,Motor Vehicle Theft,Motor Vehicle Theft,45.528487902,-122.614998914,1/28/2022,1
