Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
2020-07-30,Gresham,97080,2017,4,3.0,510000,2577,5662,31446,23.246,1352.74886,97765.0
2020-07-28,Gresham,97080,2002,3,3.0,459900,1744,5227,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,2008,4,4.0,699900,3661,13939,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,2000,4,3.0,425000,2143,5227,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,1996,3,3.0,519000,2381,13939,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,1993,4,2.0,410000,1851,9147,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,1999,4,5.0,825000,5185,21344,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,1998,2,3.0,540000,2306,6098,31446,23.246,1352.74886,97765.0
2020-07-19,Gresham,97080,1997,4,3.0,434900,2288,6969,31446,23.246,1352.74886,97765.0
2020-07-24,Gresham,97080,2020,4,3.0,432900,1791,3484,31446,23.246,1352.74886,97765.0
2020-07-24,Gresham,97080,1999,3,3.0,485000,2128,8712,31446,23.246,1352.74886,97765.0
2020-07-24,Gresham,97080,2007,4,4.0,599000,3227,15245,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,1972,3,2.0,355000,1180,10018,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,1977,3,3.0,409000,2351,8276,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,2000,4,3.0,405000,2180,6534,31446,23.246,1352.74886,97765.0
2020-07-21,Gresham,97080,1979,4,3.0,435000,2114,10890,31446,23.246,1352.74886,97765.0
2020-07-13,Gresham,97080,2010,3,2.0,386000,1420,5227,31446,23.246,1352.74886,97765.0
2020-07-10,Gresham,97080,2006,4,3.0,399900,2168,7840,31446,23.246,1352.74886,97765.0
2020-07-10,Gresham,97080,2020,4,3.0,435000,1871,3484,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,2000,5,3.0,415000,2702,5662,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,1974,4,3.0,430000,2364,9147,31446,23.246,1352.74886,97765.0
2021-03-18,Gresham,97080,2003,5,2.0,525000,2622,5662,31446,23.246,1352.74886,97765.0
2021-03-18,Gresham,97080,2003,5,2.0,525000,2622,5662,31446,23.246,1352.74886,97765.0
2020-09-27,Gresham,97080,2020,4,3.0,442550,1876,5227,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,2005,3,2.0,171000,1250,5000,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,1974,4,3.0,370000,1754,8276,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,1983,3,2.0,353500,1595,7405,31446,23.246,1352.74886,97765.0
2020-07-19,Gresham,97080,2008,4,3.0,470000,2300,5227,31446,23.246,1352.74886,97765.0
2020-07-19,Gresham,97080,1980,3,2.0,385000,1576,8276,31446,23.246,1352.74886,97765.0
2020-07-13,Gresham,97080,1994,3,4.0,575000,3516,13939,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,1982,5,3.0,462250,2876,8712,31446,23.246,1352.74886,97765.0
2020-07-30,Gresham,97080,2004,3,2.0,310000,1152,3920,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,2020,3,3.0,461595,2061,5407,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,2019,3,3.0,461595,2061,5227,31446,23.246,1352.74886,97765.0
2020-07-21,Gresham,97080,1986,3,2.0,390000,1576,10890,31446,23.246,1352.74886,97765.0
2020-07-14,Gresham,97080,1999,4,3.0,584000,3244,13068,31446,23.246,1352.74886,97765.0
2020-07-13,Gresham,97080,2020,4,3.0,369995,1863,3084,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,2000,4,3.0,495000,2503,7405,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,1978,3,2.0,350000,1376,10018,31446,23.246,1352.74886,97765.0
2020-07-07,Gresham,97080,2018,3,3.0,344500,1671,3049,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,2003,4,3.0,455000,1823,5662,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,1996,4,3.0,495000,2139,16117,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,1987,4,3.0,539900,2758,10454,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,2019,5,3.0,599000,2892,5227,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,1981,3,2.0,430000,1279,7840,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,2004,3,3.0,485000,1502,5227,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,1974,3,3.0,500000,2628,15681,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,2004,3,2.0,500000,1496,14810,31446,23.246,1352.74886,97765.0
2021-07-15,Gresham,97080,2011,3,3.0,440000,1488,5227,31446,23.246,1352.74886,97765.0
2021-07-13,Gresham,97080,1996,3,3.0,596000,2350,7405,31446,23.246,1352.74886,97765.0
2021-07-13,Gresham,97080,1995,3,2.0,423000,1391,5227,31446,23.246,1352.74886,97765.0
2021-07-12,Gresham,97080,1979,4,3.0,499900,2963,16988,31446,23.246,1352.74886,97765.0
2021-07-12,Gresham,97080,1997,4,3.0,580000,2093,9147,31446,23.246,1352.74886,97765.0
2021-07-12,Gresham,97080,1985,3,2.0,405000,1104,10018,31446,23.246,1352.74886,97765.0
2021-07-12,Gresham,97080,1994,3,3.0,480000,1698,6969,31446,23.246,1352.74886,97765.0
2021-07-09,Gresham,97080,1958,4,3.0,590000,2220,13503,31446,23.246,1352.74886,97765.0
2021-07-07,Gresham,97080,1986,3,2.0,625000,2359,13939,31446,23.246,1352.74886,97765.0
2021-07-07,Gresham,97080,1918,3,3.0,527000,2887,10454,31446,23.246,1352.74886,97765.0
2021-07-07,Gresham,97080,1974,6,3.0,550000,2700,8276,31446,23.246,1352.74886,97765.0
2021-07-07,Gresham,97080,2007,3,3.0,540000,2370,5662,31446,23.246,1352.74886,97765.0
2021-07-06,Gresham,97080,2006,5,3.0,615000,3045,5662,31446,23.246,1352.74886,97765.0
2021-07-06,Gresham,97080,1988,6,3.0,665000,3747,12196,31446,23.246,1352.74886,97765.0
2021-07-06,Gresham,97080,1978,3,2.0,450000,1380,7840,31446,23.246,1352.74886,97765.0
2021-07-06,Gresham,97080,1976,3,3.0,435000,1832,7405,31446,23.246,1352.74886,97765.0
2021-07-01,Gresham,97080,1976,4,3.0,471500,2327,8276,31446,23.246,1352.74886,97765.0
2021-07-01,Gresham,97080,1991,3,2.0,515000,1540,9147,31446,23.246,1352.74886,97765.0
2021-07-01,Gresham,97080,1978,4,3.0,515000,2322,9583,31446,23.246,1352.74886,97765.0
2021-07-01,Gresham,97080,1992,3,3.0,469900,1970,6969,31446,23.246,1352.74886,97765.0
2021-07-01,Gresham,97080,1978,3,2.0,377000,1473,10018,31446,23.246,1352.74886,97765.0
2021-07-01,Gresham,97080,1990,4,3.0,525000,2269,7840,31446,23.246,1352.74886,97765.0
2021-06-29,Gresham,97080,1972,4,2.0,420000,1640,8712,31446,23.246,1352.74886,97765.0
2021-06-29,Gresham,97080,2002,4,3.0,460000,1696,5662,31446,23.246,1352.74886,97765.0
2021-06-29,Gresham,97080,1999,3,2.0,510000,1915,8276,31446,23.246,1352.74886,97765.0
2021-06-29,Gresham,97080,1981,3,3.0,724000,2553,10018,31446,23.246,1352.74886,97765.0
2021-06-25,Gresham,97080,2002,3,2.5,380000,1434,5018,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1997,3,5.0,1200000,5296,43560,31446,23.246,1352.74886,97765.0
2021-06-20,Gresham,97080,2003,4,3.0,450000,1886,4356,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,1948,3,1.0,425000,1474,21344,31446,23.246,1352.74886,97765.0
2021-06-17,Gresham,97080,2000,4,3.0,500000,2199,7840,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,1991,4,3.0,488000,2019,7840,31446,23.246,1352.74886,97765.0
2021-06-29,Gresham,97080,1978,3,2.0,482500,2264,8712,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,1960,4,2.0,650000,2120,101930,31446,23.246,1352.74886,97765.0
2021-06-28,Gresham,97080,1992,3,2.0,445100,1723,9583,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,2003,3,2.5,379000,1663,4400,31446,23.246,1352.74886,97765.0
2021-06-28,Gresham,97080,1975,3,3.0,460000,1893,7840,31446,23.246,1352.74886,97765.0
2021-06-09,Gresham,97080,1952,3,2.0,730000,1715,203860,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,2002,4,3.0,476000,1958,6098,31446,23.246,1352.74886,97765.0
2021-06-28,Gresham,97080,2015,4,3.0,639900,3300,4791,31446,23.246,1352.74886,97765.0
2021-06-15,Gresham,97080,2002,3,3.0,450000,1640,5227,31446,23.246,1352.74886,97765.0
2021-06-14,Gresham,97080,1963,3,2.0,579000,1732,51400,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,1982,3,3.0,714000,2904,251776,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,2000,3,2.0,440000,1600,6098,31446,23.246,1352.74886,97765.0
2021-06-11,Gresham,97080,1967,4,2.0,650000,2309,55756,31446,23.246,1352.74886,97765.0
2021-06-07,Gresham,97080,2006,3,3.0,460000,1707,7405,31446,23.246,1352.74886,97765.0
2021-06-07,Gresham,97080,2002,3,3.0,490000,1540,4356,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,2006,3,3.0,480000,1755,4791,31446,23.246,1352.74886,97765.0
2021-06-06,Gresham,97080,2019,4,3.0,485000,1918,3920,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1982,3,2.0,452000,1583,6969,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1974,3,2.0,600000,1305,105850,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,2004,3,3.0,464900,1911,5227,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,2004,4,3.0,521000,2036,6098,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1995,3,2.0,542500,1980,10018,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1978,3,2.0,410000,1088,5227,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1960,3,2.0,405000,1123,8712,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1973,3,2.0,445000,1568,6969,31446,23.246,1352.74886,97765.0
2021-06-03,Gresham,97080,1996,4,3.0,555000,2116,10454,31446,23.246,1352.74886,97765.0
2021-06-01,Gresham,97080,1939,3,2.0,719000,2732,87120,31446,23.246,1352.74886,97765.0
2021-05-28,Gresham,97080,1997,4,3.0,505000,2229,12632,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1972,3,2.0,424950,1342,10454,31446,23.246,1352.74886,97765.0
2021-05-26,Gresham,97080,1992,3,2.0,465000,1612,6969,31446,23.246,1352.74886,97765.0
2021-05-23,Gresham,97080,1991,3,3.0,499000,1536,16552,31446,23.246,1352.74886,97765.0
2021-05-23,Gresham,97080,1997,4,3.0,530000,2132,6969,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1996,3,3.0,565000,2138,6969,31446,23.246,1352.74886,97765.0
2021-05-21,Gresham,97080,1980,3,2.0,360000,1492,10018,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1994,3,2.0,465000,1589,9147,31446,23.246,1352.74886,97765.0
2021-05-21,Gresham,97080,1964,3,2.0,683000,2582,87991,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,1977,3,3.0,350000,2452,10018,31446,23.246,1352.74886,97765.0
2021-06-23,Gresham,97080,2015,5,3.0,625000,2892,5662,31446,23.246,1352.74886,97765.0
2021-05-18,Gresham,97080,2010,5,3.0,620000,3377,5227,31446,23.246,1352.74886,97765.0
2021-05-07,Gresham,97080,2006,4,3.0,465000,2380,6098,31446,23.246,1352.74886,97765.0
2021-05-07,Gresham,97080,2004,4,3.0,505000,2408,4356,31446,23.246,1352.74886,97765.0
