,Sale Date,Home Type,City,Zip Code,Year Built,Bed,Bath,Sale Price,Property Tax Rate,Square Feet,Lot Size
150,2020-07-22,Single Family,Portland,97230,1970,3,2.0,388900,1.12,1829,7405
152,2020-07-19,Single Family,Gresham,97030,1954,2,1.0,600000,1.12,828,19498
153,2020-07-10,Single Family,Portland,97230,1956,4,2.0,11000,1.12,1572,10000
154,2020-07-13,Single Family,Gresham,97030,1964,3,1.0,320000,1.12,1335,7840
155,2020-07-10,Single Family,Portland,97230,1972,3,2.0,372700,1.12,1354,7840
156,2020-07-10,Single Family,Gresham,97030,2003,3,2.0,332000,1.12,1074,3485
157,2020-07-10,Single Family,Gresham,97030,1975,3,2.0,340000,1.12,1400,7840
158,2020-07-13,Single Family,Gresham,97030,1973,3,2.0,365000,1.12,1742,7700
159,2020-07-14,Single Family,Gresham,97030,1997,4,3.0,448900,1.12,1934,12196
160,2020-07-13,Single Family,Portland,97230,1966,3,2.0,350000,1.12,988,7405
161,2020-07-16,Single Family,Gresham,97030,1956,3,1.0,355000,1.12,1450,6098
162,2020-07-16,Single Family,Portland,97230,1952,4,1.0,333768,1.12,1108,6534
163,2020-07-16,Single Family,Portland,97230,1997,4,2.0,450000,1.12,2289,8276
165,2020-07-16,Single Family,Gresham,97230,1952,4,1.0,333768,1.12,1108,6534
166,2020-07-08,Single Family,Portland,97233,1959,3,1.0,321000,1.12,1093,8276
167,2020-07-21,Single Family,Gresham,97030,1973,4,2.0,385000,1.12,1608,7405
168,2020-07-22,Single Family,Gresham,97030,1966,3,1.0,316000,1.12,994,6969
169,2020-07-08,Single Family,Portland,97233,1982,2,2.0,305000,1.12,1412,6969
175,2020-07-07,Single Family,Portland,97230,2001,3,2.0,365000,1.12,1585,5662
177,2020-07-07,Single Family,Gresham,97030,1972,3,1.0,310000,1.12,858,7405
178,2020-07-08,Single Family,Gresham,97030,1973,3,2.0,326000,1.12,1252,10890
179,2020-07-22,Single Family,Portland,97233,1958,3,2.0,325000,1.12,1416,7405
180,2020-07-07,Single Family,Portland,97230,2014,4,3.0,373000,1.12,1641,3484
181,2020-07-22,Single Family,Gresham,97030,1976,3,3.0,515000,1.12,2016,13503
182,2020-07-22,Single Family,Gresham,97030,1963,3,2.0,319000,1.12,1803,7840
183,2020-07-24,Single Family,Gresham,97030,1964,3,1.5,340000,1.12,1309,7030
184,2020-07-24,Single Family,Portland,97233,1962,3,1.0,300000,1.12,864,8712
185,2020-07-24,Single Family,Gresham,97030,1962,3,2.0,325500,1.12,1276,8276
186,2020-07-24,Single Family,Gresham,97030,1972,3,2.0,325000,1.12,1184,7840
187,2020-07-27,Single Family,Gresham,97030,1965,4,2.0,372500,1.12,1168,9147
188,2020-07-30,Single Family,Gresham,97030,1973,3,1.0,325000,1.12,1228,6969
189,2020-07-28,Single Family,Gresham,97030,1956,3,2.0,320000,1.12,1107,7405
190,2020-07-30,Single Family,Gresham,97030,1979,3,2.0,300000,1.12,1054,8500
191,2020-07-27,Single Family,Gresham,97030,1990,4,3.0,454000,1.12,1958,7840
192,2020-08-02,Single Family,Gresham,97030,1984,3,3.0,380000,1.12,1432,8712
193,2020-08-02,Single Family,Portland,97233,1956,3,1.0,329000,1.12,1348,9147
194,2020-08-05,Single Family,Gresham,97030,1987,5,3.0,502000,1.12,3121,7405
195,2020-07-30,Single Family,Portland,97233,1963,3,2.0,345500,1.12,1220,6969
197,2020-08-10,Single Family,Portland,97230,1958,4,3.0,384000,1.12,1872,10018
199,2020-08-13,Single Family,Portland,97230,1960,3,2.0,225000,1.12,1070,8140
200,2020-08-13,Single Family,Gresham,97030,1974,3,2.0,379900,1.12,1616,7840
