ZIP_CODE,PO_NAME,STATE,zipCodePop,areaSqMile,PopDensity
97038,Molalla,OR,11653,295.428,39.44446701
97420,Coos Bay,OR,11824,300.654,39.32759917
97419,Cheshire,OR,1154,29.945,38.53731842
97101,Amity,OR,1880,49.46,38.01051355
97394,Waldport,OR,2370,65.381,36.24906318
97446,Harrisburg,OR,3893,108.634,35.83592614
97424,Cottage Grove,OR,12133,345.203,35.14743499
97137,Saint Paul,OR,1447,42.204,34.28584968
97119,Gaston,OR,5401,158.496,34.07656976
97231,Portland,OR,2630,77.67,33.86120767
97875,Stanfield,OR,1574,47.293,33.28188104
97471,Roseburg,OR,8320,262.24,31.7266626
97031,Hood River,OR,6431,205.265,31.33023165
97122,Hebo,OR,778,25.827,30.12351415
97701,Bend,OR,8180,275.97,29.640903
97148,Yamhill,OR,3793,128.681,29.47599102
97374,Scio,OR,5346,183.212,29.1793114
97543,Wilderville,OR,1621,55.888,29.00443745
97520,Ashland,OR,17337,609.851,28.42825543
97760,Terrebonne,OR,2302,83.051,27.71790827
97489,Walterville,OR,741,28.066,26.40205231
97457,Myrtle Creek,OR,5005,191.681,26.11109082
97370,Philomath,OR,4597,181.257,25.36177913
97913,Nyssa,OR,3195,126.326,25.29170559
97601,Klamath Falls,OR,10617,425.17,24.971188
97462,Oakland,OR,6566,270.9,24.2377261
97117,Gales Creek,OR,718,29.702,24.17345633
97386,Sweet Home,OR,5309,228.392,23.24512242
97347,Grand Ronde,OR,2800,124.24,22.53702511
97527,Grants Pass,OR,4440,200.504,22.14419662
97530,Jacksonville,OR,7163,336.188,21.30653087
97138,Seaside,OR,9045,425.373,21.26369093
97431,Dexter,OR,1467,71.037,20.65120993
97465,Port Orford,OR,1682,81.594,20.61426085
97144,Timber,OR,863,42.414,20.34705522
97850,La Grande,OR,16517,868.219,19.02400201
97019,Corbett,OR,3054,162.101,18.84010586
97304,Salem,OR,1211,67.128,18.04016208
97456,Monroe,OR,1622,90.945,17.83495519
97461,Noti,OR,978,54.967,17.79249368
97390,Tidewater,OR,1752,98.743,17.74302989
97438,Fall Creek,OR,2182,125.22,17.42533142
97741,Madras,OR,6156,357.758,17.20716238
97416,Camas Valley,OR,1917,112.989,16.96625335
97067,Welches,OR,837,49.615,16.86989822
97412,Blachly,OR,1095,68.103,16.07858685
97862,Milton Freewater,OR,4514,292.422,15.43659506
97532,Merlin,OR,1153,76.182,15.13480875
97108,Beaver,OR,1097,77.244,14.2017503
97486,Umpqua,OR,2204,155.613,14.16334111
97348,Halsey,OR,785,58.115,13.50770025
97544,Williams,OR,1712,129.182,13.25262033
97801,Pendleton,OR,13521,1040.1,12.99971157
97756,Redmond,OR,1417,109.224,12.97333919
97049,Rhododendron,OR,1535,120.241,12.76602823
97810,Adams,OR,2420,197.184,12.27280104
97014,Cascade Locks,OR,1543,126.039,12.24224248
97499,Yoncalla,OR,1227,102.57,11.96256215
97443,Glide,OR,3864,324.294,11.91511406
97041,Mount Hood Parkdale,OR,2402,206.652,11.62340553
97841,Imbler,OR,676,59.604,11.3415207
97459,North Bend,OR,3162,280.398,11.27682794
97358,Lyons,OR,913,81.757,11.1672395
97326,Blodgett,OR,1095,106.024,10.3278503
97625,Dairy,OR,1459,141.829,10.2870358
97434,Dorena,OR,1819,181.796,10.0057207
97833,Haines,OR,1726,182.604,9.452147817
97415,Brookings,OR,6923,744.837,9.294651044
97470,Roseburg,OR,1670,184.391,9.056841169
97814,Baker City,OR,7828,910.377,8.59863551
97141,Tillamook,OR,3210,376.37,8.5288413
97903,Brogan,OR,3643,431.048,8.451494961
97380,Siletz,OR,942,112.657,8.361664166
97813,Athena,OR,877,105.178,8.338245641
97410,Azalea,OR,1353,162.451,8.328665259
97497,Wolf Creek,OR,1075,130.732,8.222929352
97479,Sutherlin,OR,1235,161.821,7.631889557
97496,Winston,OR,917,125.987,7.278528737
97016,Clatskanie,OR,2361,326.92,7.221950324
97467,Reedsport,OR,4019,565.206,7.110681769
97826,Echo,OR,1142,161.858,7.055567226
97324,Alsea,OR,1444,209.881,6.880089193
97886,Weston,OR,860,125.429,6.8564686
97064,Vernonia,OR,1089,164.639,6.614471662
97063,Tygh Valley,OR,1021,160.43,6.364146357
97883,Union,OR,3211,515.627,6.227369785
97453,Mapleton,OR,699,114.562,6.101499625
97827,Elgin,OR,2176,369.171,5.894287471
97343,Eddyville,OR,1036,178.182,5.814279781
97342,Detroit,OR,1515,260.781,5.809472316
97641,Christmas Valley,OR,964,166.943,5.774426002
97918,Vale,OR,2310,407.879,5.663444306
97839,Lexington,OR,799,148.621,5.376090862
97112,Cloverdale,OR,1055,205.509,5.133595122
97523,Cave Junction,OR,1899,385.554,4.925380102
97021,Dufur,OR,1865,394.744,4.724580994
97522,Butte Falls,OR,1309,282.108,4.640066925
97344,Falls City,OR,923,216.625,4.260819388
97065,Wasco,OR,852,200.58,4.247681723
97454,Marcola,OR,516,124.293,4.151480775
97761,Warm Springs,OR,1659,408.972,4.056512426
97463,Oakridge,OR,1347,338.566,3.978544804
97536,Prospect,OR,1318,342.735,3.845536639
97736,Frenchglen,OR,803,213.653,3.758430726
97435,Drain,OR,792,222.568,3.558463032
97846,Joseph,OR,1312,389.426,3.369061131
97406,Agness,OR,1289,396.235,3.253119992
97029,Grass Valley,OR,834,259.941,3.208420372
97413,Blue River,OR,2992,932.945,3.207048647
97835,Helix,OR,595,197.935,3.006037335
97885,Wallowa,OR,1944,668.252,2.909082203
97057,Shaniko,OR,917,315.968,2.902192627
97442,Glendale,OR,823,295.022,2.789622469
97837,Hereford,OR,804,344.05,2.336869641
97870,Richland,OR,841,364.148,2.309500533
97131,Nehalem,OR,738,327.299,2.254818988
97834,Halfway,OR,594,266.371,2.229972482
97828,Enterprise,OR,1858,860.543,2.159101869
97712,Brothers,OR,2006,932.979,2.150101985
97754,Prineville,OR,3606,1799.095,2.004341071
97711,Ashwood,OR,929,472.936,1.964324983
97630,Lakeview,OR,2660,1481.982,1.794893595
97864,Monument,OR,705,413.282,1.705857018
97843,Ione,OR,665,409.893,1.62237462
97904,Drewsey,OR,1082,670.178,1.614496447
97836,Heppner,OR,1715,1099.507,1.559789979
97737,Gilchrist,OR,851,552.213,1.541072014
97623,Bonanza,OR,1468,1051.34,1.396313276
97907,Huntington,OR,483,421.37,1.146261006
97823,Condon,OR,843,837.658,1.006377304
97484,Tiller,OR,592,637.427,0.9287338
97627,Keno,OR,650,701.142,0.927058998
97750,Mitchell,OR,845,949.083,0.89033309
97739,La Pine,OR,1201,1485.296,0.808593035
97037,Maupin,OR,710,945.902,0.7506063
97910,Jordan Valley,OR,756,4651.573,0.162525666
