Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SF,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
2021-06-11,Portland,97212,2005,3,2,610000,1524,2613,400.26,26991,2.775,9726.486486,146186
2020-12-02,Portland,97212,2003,3,3,530000,1394,4791,380.2,26991,2.775,9726.486486,146186
2020-11-16,Portland,97212,2014,3,3,530000,1699,2178,311.95,26991,2.775,9726.486486,146186
2020-12-22,Portland,97212,2014,3,3,519900,1836,1306,283.17,26991,2.775,9726.486486,146186
2021-02-18,Portland,97212,2016,3,3,550000,1792,2613,306.92,26991,2.775,9726.486486,146186
2021-03-04,Portland,97212,1997,4,3,575000,1668,3484,344.72,26991,2.775,9726.486486,146186
2020-10-02,Portland,97212,1952,2,1,590000,1492,4791,395.44,26991,2.775,9726.486486,146186
2021-06-17,Portland,97206,2017,4,3,785000,2854,4356,275.05,50943,6.417,7938.756428,87404
2020-07-07,Portland,97206,2018,4,3,732500,2565,4791,285.58,50943,6.417,7938.756428,87404
2020-07-13,Portland,97206,2017,4,3,690000,2991,4791,230.69,50943,6.417,7938.756428,87404
2021-06-29,Portland,97206,2019,4,3,854900,2480,3484,344.72,50943,6.417,7938.756428,87404
2021-07-07,Portland,97206,1955,3,2,651000,3084,8276,211.09,50943,6.417,7938.756428,87404
2021-07-09,Portland,97206,2009,7,5,760000,3720,9147,204.3,50943,6.417,7938.756428,87404
2021-07-01,Portland,97206,2011,4,3,929000,2448,4791,379.49,50943,6.417,7938.756428,87404
2021-05-28,Portland,97206,2014,4,3,789000,2327,3049,339.06,50943,6.417,7938.756428,87404
2021-06-17,Portland,97206,2017,4,3,720000,2130,3920,338.03,50943,6.417,7938.756428,87404
